,UTM,매출,장바구니 금액,지출 금액 (KRW),ROAS,광고 게재,광고 세트 예산,광고 세트 이름,주문,구매 개수,구매자,ARPPU,객단가,매출,주문,구매 개수,방문자,방문자,구매자,신규 구매자,전환률(방문-구매),장바구니 유저,장바구니 금액,장바구니 개수,전환률(방문-장바구니 담기),전환률(장바구니-구매),광고 게재,광고 세트 이름,입찰가,입찰 유형,광고 세트 예산,광고 세트 예산 유형,최근 영향이 큰 변경,기여 설정,결과,결과 표시 도구,도달,노출,결과당 비용,품질 순위,참여율 순위,전환율 순위,지출 금액 (KRW),종료,catalog_segment_value_omni_purchase_roas:omni_purchase,공유 항목의 웹사이트 구매 ROAS만,공유 항목의 모바일 앱 구매 ROAS만,,,
,my-main-1-video-jestinna-01portrait-240315,#N/A,#N/A,₩493,#N/A,active,"₩30,000",오프숄더_영상_01영어_240315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,active,오프숄더_영상_01영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,115,118,,-,-,-,493,진행 중,,,,,,
,my-main-4-video-jestinna-04portrait-240315,#N/A,#N/A,"₩30,066",#N/A,active,"₩40,000",오프숄더_영상_04영어_240315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,active,오프숄더_영상_04영어_240315,0,ABSOLUTE_OCPM,40000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,10535,13920,,-,-,-,30066,진행 중,,,,,,
,my-main-5-video-jestinna-05portrait-240315,"₩77,958","₩1,340,427",₩0,#DIV/0!,inactive,"₩20,000",메인_영상_05영어_240315,2,2,2,"₩38,979","₩38,979",278.42,2,2,207,207,2,2,0.97%,24,"4,787.24",32,11.59%,8.33%,inactive,메인_영상_05영어_240315,0,ABSOLUTE_OCPM,20000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,0,0,,-,-,-,0,진행 중,8.393721,,8.393721,,,
,my-offshoulder-27-video-jestinna-05saletagDangle-240315,#N/A,#N/A,₩0,#N/A,inactive,"₩20,000",메인_영상_05영어_240315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,inactive,메인_영상_05영어_240315,0,ABSOLUTE_OCPM,20000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,0,0,,-,-,-,0,진행 중,,,,,,
,my-offshoulder-26-video-jestinna-05saletagPop-240315,₩0,"₩21,048",₩0,#DIV/0!,inactive,"₩20,000",메인_영상_05영어_240315,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,-,1,75.17,1,-,0.00%,inactive,메인_영상_05영어_240315,0,ABSOLUTE_OCPM,20000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,0,0,,-,-,-,0,진행 중,4.400233,,4.400233,,,
,my-offshoulder-24-video-jestinna-05slide-240315,#N/A,#N/A,₩0,#N/A,inactive,"₩20,000",메인_영상_05영어_240315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,inactive,메인_영상_05영어_240315,0,ABSOLUTE_OCPM,20000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,0,0,,-,-,-,0,진행 중,,,,,,
,my-offshoulder-8-video-jestinna-01singlePop-240315,"₩141,358","₩464,279","₩11,498",1229%,active,"₩30,000",오프숄더_영상_01영어_240315,3,4,3,"₩47,119","₩47,119",504.85,3,4,60,60,3,3,5.00%,6,"1,658.14",11,10.00%,50.00%,active,오프숄더_영상_01영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,2623,3053,,-,-,-,11498,진행 중,,,,,,
,my-offshoulder-4-video-jestinna-01slide-240315,"₩113,593","₩707,162","₩13,032",872%,active,"₩30,000",오프숄더_영상_01영어_240315,3,3,3,"₩37,864","₩37,864",405.69,3,3,52,50,3,3,6.00%,10,"2,525.58",17,20.00%,30.00%,active,오프숄더_영상_01영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,2527,2888,,-,-,-,13032,진행 중,,,,,,
,my-offshoulder-10-video-jestinna-02triplePop-240315,"₩115,699","₩1,023,548","₩16,298",710%,active,"₩30,000",오프숄더_영상_02영어_240315,3,3,3,"₩38,566","₩38,566",413.21,3,3,79,79,3,3,3.80%,16,"3,655.53",24,20.25%,18.75%,active,오프숄더_영상_02영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,3550,4444,,-,-,-,16298,진행 중,,,,,,
,my-offshoulder-29-video-jestinna-04triplePopEC-240322,"₩128,223","₩543,514","₩19,994",641%,active,"₩30,000",오프숄더_영상_04영중_240322,3,4,3,"₩42,741","₩42,741",457.94,3,4,47,47,3,2,6.38%,6,"1,941.12",13,12.77%,50.00%,active,오프숄더_영상_04영중_240322,0,ABSOLUTE_OCPM,30000,일일 예산,3-22-24,클릭 후 7일 또는 조회 후 1일,,,4118,5793,,-,-,-,19994,진행 중,0.876676,,0.876676,,,
